,Channel,Computer,Correlation,EventID,EventRecordID,Execution_ProcessID,Execution_ThreadID,FileName,Keywords,Level,Opcode,Provider_Guid,Provider_Name,Security_UserID,Task,TimeCreated_SystemTime,Version,Accesslist,Accessmask,Additionalinfo,Additionalinfo2,Handleid,Objectname,Objectserver,Objecttype,Operationtype,Properties,Subjectdomainname,Subjectlogonid,Subjectusername,Subjectusersid,Appcorrelationid,Attributeldapdisplayname,Attributesyntaxoid,Attributevalue,Dsname,Dstype,Objectclass,Objectdn,Objectguid,Opcorrelationid,Details,Eventtype,Image,Processguid,Processid,Rulename,Targetobject,Utctime,Membername,Membersid,Privilegelist,Targetdomainname,Targetsid,Targetusername,Commandline,Company,Currentdirectory,Description,Fileversion,Hashes,Integritylevel,Logonguid,Logonid,Parentcommandline,Parentimage,Parentprocessguid,Parentprocessid,Product,Terminalsessionid,User,Accountexpires,Allowedtodelegateto,Computeraccountchange,Displayname,Dnshostname,Homedirectory,Homepath,Logonhours,Newuacvalue,Olduacvalue,Passwordlastset,Primarygroupid,Profilepath,Samaccountname,Scriptpath,Serviceprincipalnames,Sidhistory,Useraccountcontrol,Userparameters,Userprincipalname,Userworkstations,Creationutctime,Targetfilename,Catalog,Category,Guid,Installer,Lspname,String,String2,String3,Bytestotal,Bytestransferred,Bytestransferredfrompeer,Filelength,Filetime,Id,Name,Peer,Transferid,Url,Additionalinfohr,Bandwidthlimit,Hr,Ignorebandwidthlimitsonlan,Peercontextinfo,Peerprotocolflags,Proxy,Calltrace,Grantedaccess,Sourceimage,Sourceprocessguid,Sourceprocessid,Sourcethreadid,Targetimage,Targetprocessguid,Targetprocessid,Imageloaded,Signature,Signaturestatus,Signed,Destinationhostname,Destinationip,Destinationisipv6,Destinationport,Destinationportname,Initiated,Protocol,Sourcehostname,Sourceip,Sourceisipv6,Sourceport,Sourceportname,Originalfilename,Destination,Operation,Type,Consumer,Filter,Eventnamespace,Query,Authenticationpackagename,Impersonationlevel,Ipaddress,Ipport,Keylength,Lmpackagename,Logonprocessname,Logontype,Processname,Targetlogonid,Targetusersid,Transmittedservices,Workstationname,Restrictedsidcount,Transactionid,Sidlist,Sourcesid,Sourceusername,Pipename,Elevatedtoken,Restrictedadminmode,Targetlinkedlogonid,Targetoutbounddomainname,Targetoutboundusername,Virtualaccount,Accessreason,Relativetargetname,Sharelocalpath,Sharename,Newthreadid,Startaddress,Startfunction,Startmodule,Taskcontent,Taskname,Schemaversion,State,Packagename,Status,Workstation,Targetinfo,Targetlogonguid,Targetservername,Newprocessid,Newprocessname,Tokenelevationtype,Service,Hash,Archived,Isexecutable,Queryname,Queryresults,Querystatus,Accountname,Imagepath,Servicename,Servicetype,Starttype,Disabledprivilegelist,Enabledprivilegelist,SIGMA Rule,SIGMA Description
0,Microsoft-Windows-Sysmon/Operational,MSEDGEWIN10,,1,5437,2780,3676,Sysmon_UACME_22.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-08-03T12:08:13.636089200Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\IEUser\Desktop\UACME.exe,{747F3D96-792D-5D45-0000-00104F190601},5336,,,2019-08-03 12:08:13.624,,,,,,,UACME.exe  22,Hazardous Environments,C:\Users\IEUser\Desktop\,UACMe main module,3.1.9.1905,"SHA1=9E57914D39FBFE785C915E225011892613C4714C,MD5=D57E778DF10F801F47119A04BE990FFD,SHA256=D76815CE3F4B9FE7A611D6F536F65AF313E2AB2F8BB52EF0998487D89A6E7378,IMPHASH=B6789EDFE23DDA911AE37C87444D3DCB",Medium,{747F3D96-56A3-5D45-0000-0020FBD31800},0x000000000018d3fb,"""C:\Windows\system32\cmd.exe"" ",C:\Windows\System32\cmd.exe,{747F3D96-5A29-5D45-0000-0010DEB99000},5780,UACMe,1,MSEDGEWIN10\IEUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAC Bypass Tool UACMe,Detects execution of UACMe (a tool used for UAC bypass) via default PE metadata
1,Microsoft-Windows-Sysmon/Operational,MSEDGEWIN10,,1,5428,2780,3676,Sysmon_UACME_23.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-08-03T12:06:53.680435300Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\IEUser\Desktop\UACME.exe,{747F3D96-78DD-5D45-0000-0010B8A50301},5080,,,2019-08-03 12:06:53.665,,,,,,,UACME.exe  23,Hazardous Environments,C:\Users\IEUser\Desktop\,UACMe main module,3.1.9.1905,"SHA1=9E57914D39FBFE785C915E225011892613C4714C,MD5=D57E778DF10F801F47119A04BE990FFD,SHA256=D76815CE3F4B9FE7A611D6F536F65AF313E2AB2F8BB52EF0998487D89A6E7378,IMPHASH=B6789EDFE23DDA911AE37C87444D3DCB",Medium,{747F3D96-56A3-5D45-0000-0020FBD31800},0x000000000018d3fb,"""C:\Windows\system32\cmd.exe"" ",C:\Windows\System32\cmd.exe,{747F3D96-5A29-5D45-0000-0010DEB99000},5780,UACMe,1,MSEDGEWIN10\IEUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAC Bypass Tool UACMe,Detects execution of UACMe (a tool used for UAC bypass) via default PE metadata
2,Microsoft-Windows-Sysmon/Operational,MSEDGEWIN10,,1,5400,2780,3676,Sysmon_UACME_30.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-08-03T11:23:15.364739600Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\IEUser\Desktop\UACME.exe,{747F3D96-6EA3-5D45-0000-0010204DE100},7984,,,2019-08-03 11:23:15.323,,,,,,,UACME.exe  30,Hazardous Environments,C:\Users\IEUser\Desktop\,UACMe main module,3.1.9.1905,"SHA1=9E57914D39FBFE785C915E225011892613C4714C,MD5=D57E778DF10F801F47119A04BE990FFD,SHA256=D76815CE3F4B9FE7A611D6F536F65AF313E2AB2F8BB52EF0998487D89A6E7378,IMPHASH=B6789EDFE23DDA911AE37C87444D3DCB",Medium,{747F3D96-56A3-5D45-0000-0020FBD31800},0x000000000018d3fb,"""C:\Windows\system32\cmd.exe"" ",C:\Windows\System32\cmd.exe,{747F3D96-5A29-5D45-0000-0010DEB99000},5780,UACMe,1,MSEDGEWIN10\IEUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAC Bypass Tool UACMe,Detects execution of UACMe (a tool used for UAC bypass) via default PE metadata
3,Microsoft-Windows-Sysmon/Operational,MSEDGEWIN10,,1,5304,2780,3676,Sysmon_UACME_32.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-08-03T10:51:46.511813000Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\IEUser\Desktop\UACME.exe,{747F3D96-6742-5D45-0000-00104A66B500},6380,,,2019-08-03 10:51:46.423,,,,,,,UACME.exe  32,Hazardous Environments,C:\Users\IEUser\Desktop\,UACMe main module,3.1.9.1905,"SHA1=9E57914D39FBFE785C915E225011892613C4714C,MD5=D57E778DF10F801F47119A04BE990FFD,SHA256=D76815CE3F4B9FE7A611D6F536F65AF313E2AB2F8BB52EF0998487D89A6E7378,IMPHASH=B6789EDFE23DDA911AE37C87444D3DCB",Medium,{747F3D96-56A3-5D45-0000-0020FBD31800},0x000000000018d3fb,"""C:\Windows\system32\cmd.exe"" ",C:\Windows\System32\cmd.exe,{747F3D96-5A29-5D45-0000-0010DEB99000},5780,UACMe,1,MSEDGEWIN10\IEUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAC Bypass Tool UACMe,Detects execution of UACMe (a tool used for UAC bypass) via default PE metadata
4,Microsoft-Windows-Sysmon/Operational,MSEDGEWIN10,,1,5271,2780,3676,Sysmon_UACME_33.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-08-03T10:14:02.589463700Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\IEUser\Desktop\UACME.exe,{747F3D96-5E6A-5D45-0000-001076639D00},4440,,,2019-08-03 10:14:02.567,,,,,,,UACME.exe  33,Hazardous Environments,C:\Users\IEUser\Desktop\,UACMe main module,3.1.9.1905,"SHA1=9E57914D39FBFE785C915E225011892613C4714C,MD5=D57E778DF10F801F47119A04BE990FFD,SHA256=D76815CE3F4B9FE7A611D6F536F65AF313E2AB2F8BB52EF0998487D89A6E7378,IMPHASH=B6789EDFE23DDA911AE37C87444D3DCB",Medium,{747F3D96-56A3-5D45-0000-0020FBD31800},0x000000000018d3fb,"""C:\Windows\system32\cmd.exe"" ",C:\Windows\System32\cmd.exe,{747F3D96-5A29-5D45-0000-0010DEB99000},5780,UACMe,1,MSEDGEWIN10\IEUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAC Bypass Tool UACMe,Detects execution of UACMe (a tool used for UAC bypass) via default PE metadata
5,Microsoft-Windows-Sysmon/Operational,MSEDGEWIN10,,1,5131,2780,3676,Sysmon_UACME_34.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-08-03T09:46:48.209718000Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\IEUser\Desktop\UACME.exe,{747F3D96-5808-5D45-0000-00106CDC3E00},924,,,2019-08-03 09:46:48.195,,,,,,,UACME.exe  34,Hazardous Environments,C:\Users\IEUser\Desktop\,UACMe main module,3.1.9.1905,"SHA1=9E57914D39FBFE785C915E225011892613C4714C,MD5=D57E778DF10F801F47119A04BE990FFD,SHA256=D76815CE3F4B9FE7A611D6F536F65AF313E2AB2F8BB52EF0998487D89A6E7378,IMPHASH=B6789EDFE23DDA911AE37C87444D3DCB",Medium,{747F3D96-56A3-5D45-0000-0020FBD31800},0x000000000018d3fb,"""C:\Windows\system32\cmd.exe"" ",C:\Windows\System32\cmd.exe,{747F3D96-57E0-5D45-0000-001076D73D00},2492,UACMe,1,MSEDGEWIN10\IEUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAC Bypass Tool UACMe,Detects execution of UACMe (a tool used for UAC bypass) via default PE metadata
6,Microsoft-Windows-Sysmon/Operational,MSEDGEWIN10,,1,5493,2780,3676,Sysmon_UACME_36_FileCreate.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-08-03T12:32:34.577607300Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\IEUser\Desktop\UACME.exe,{747F3D96-7EE2-5D45-0000-00104E852801},5284,,,2019-08-03 12:32:34.504,,,,,,,UACME.exe  36,Hazardous Environments,C:\Users\IEUser\Desktop\,UACMe main module,3.1.9.1905,"SHA1=9E57914D39FBFE785C915E225011892613C4714C,MD5=D57E778DF10F801F47119A04BE990FFD,SHA256=D76815CE3F4B9FE7A611D6F536F65AF313E2AB2F8BB52EF0998487D89A6E7378,IMPHASH=B6789EDFE23DDA911AE37C87444D3DCB",Medium,{747F3D96-56A3-5D45-0000-0020FBD31800},0x000000000018d3fb,"""C:\Windows\system32\cmd.exe"" ",C:\Windows\System32\cmd.exe,{747F3D96-5A29-5D45-0000-0010DEB99000},5780,UACMe,1,MSEDGEWIN10\IEUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAC Bypass Tool UACMe,Detects execution of UACMe (a tool used for UAC bypass) via default PE metadata
7,Microsoft-Windows-Sysmon/Operational,MSEDGEWIN10,,1,5486,2780,3676,Sysmon_UACME_37_FileCreate.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-08-03T12:31:14.789735900Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\IEUser\Desktop\UACME.exe,{747F3D96-7E92-5D45-0000-0010FF472601},4884,,,2019-08-03 12:31:14.775,,,,,,,UACME.exe  37,Hazardous Environments,C:\Users\IEUser\Desktop\,UACMe main module,3.1.9.1905,"SHA1=9E57914D39FBFE785C915E225011892613C4714C,MD5=D57E778DF10F801F47119A04BE990FFD,SHA256=D76815CE3F4B9FE7A611D6F536F65AF313E2AB2F8BB52EF0998487D89A6E7378,IMPHASH=B6789EDFE23DDA911AE37C87444D3DCB",Medium,{747F3D96-56A3-5D45-0000-0020FBD31800},0x000000000018d3fb,"""C:\Windows\system32\cmd.exe"" ",C:\Windows\System32\cmd.exe,{747F3D96-5A29-5D45-0000-0010DEB99000},5780,UACMe,1,MSEDGEWIN10\IEUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAC Bypass Tool UACMe,Detects execution of UACMe (a tool used for UAC bypass) via default PE metadata
8,Microsoft-Windows-Sysmon/Operational,MSEDGEWIN10,,1,5517,2780,3676,Sysmon_UACME_38.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-08-03T13:50:26.614415400Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\IEUser\Desktop\UACME.exe,{747F3D96-9122-5D45-0000-0010710D6101},3508,,,2019-08-03 13:50:26.603,,,,,,,UACME.exe  38,Hazardous Environments,C:\Users\IEUser\Desktop\,UACMe main module,3.1.9.1905,"SHA1=9E57914D39FBFE785C915E225011892613C4714C,MD5=D57E778DF10F801F47119A04BE990FFD,SHA256=D76815CE3F4B9FE7A611D6F536F65AF313E2AB2F8BB52EF0998487D89A6E7378,IMPHASH=B6789EDFE23DDA911AE37C87444D3DCB",Medium,{747F3D96-56A3-5D45-0000-0020FBD31800},0x000000000018d3fb,"""C:\Windows\system32\cmd.exe"" ",C:\Windows\System32\cmd.exe,{747F3D96-5A29-5D45-0000-0010DEB99000},5780,UACMe,1,MSEDGEWIN10\IEUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAC Bypass Tool UACMe,Detects execution of UACMe (a tool used for UAC bypass) via default PE metadata
9,Microsoft-Windows-Sysmon/Operational,MSEDGEWIN10,,1,5522,2780,3676,Sysmon_UACME_38.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-08-03T13:50:29.424081100Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\IEUser\AppData\Local\Temp\Fubuki.exe,{747F3D96-9124-5D45-0000-001022926101},3180,,,2019-08-03 13:50:28.562,,,,,,,"""C:\Users\IEUser\AppData\Local\Temp\fubuki.exe"" ",Hazardous Environments,C:\Windows\system32\,UACMe proxy DLL,3.1.9.1905,"SHA1=C2558B74F5273E7AC7AD1D11B0A8591EFE73E088,MD5=C960E3BB9D2A99573DB7D5576AD5F3C3,SHA256=8A20DBB729093D3BD3E5A9F6541895DC6F4B1899ABA4B66160B5F6A1D0CD33CA,IMPHASH=069E5461D2FBAD8D4C3909C4E0340847",High,{747F3D96-56A3-5D45-0000-0020B3D31800},0x000000000018d3b3,"huy32,wf.msc ""C:\Users\IEUser\AppData\Local\Temp\kmkze.msc""",C:\Windows\System32\mmc.exe,{747F3D96-9123-5D45-0000-001087596101},4372,UACMe,1,MSEDGEWIN10\IEUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAC Bypass Tool UACMe,Detects execution of UACMe (a tool used for UAC bypass) via default PE metadata
